Month,Permanent Visas - Total,Temporary Student Visas - Total,Temporary visas - Total,Other Visas(h),Total(i),State
Jan-2014,149080,52570,519240,1160,1744890,NSW
Feb-2014,103260,115470,603890,1140,1339050,NSW
Mar-2014,84430,44260,517340,1490,1280150,NSW
Apr-2014,95880,26520,424760,2050,1331230,NSW
May-2014,88910,19160,380570,1290,1187550,NSW
Jun-2014,86260,25380,371690,1490,1179420,NSW
Jul-2014,99200,88440,502220,2290,1594110,NSW
Aug-2014,93320,36510,447400,1830,1362450,NSW
Sep-2014,92660,24090,420640,1870,1381030,NSW
Oct-2014,101110,32360,468770,2670,1574500,NSW
Nov-2014,84890,23130,514910,1710,1342800,NSW
Dec-2014,78940,24430,664600,810,1455550,NSW
Jan-2015,159400,64400,503500,1300,1780350,NSW
Feb-2015,94250,107610,678430,1530,1415950,NSW
Mar-2015,97000,55090,586030,1000,1388160,NSW
Apr-2015,103900,31780,443820,2570,1365370,NSW
May-2015,90480,19340,389340,1570,1215090,NSW
Jun-2015,90950,26360,388410,3110,1233570,NSW
Jul-2015,104540,103270,529850,2920,1646140,NSW
Aug-2015,99520,34530,472330,1370,1419480,NSW
Sep-2015,96510,26770,461520,1670,1456880,NSW
Oct-2015,106880,37260,505550,2540,1650380,NSW
Nov-2015,89960,26140,568370,2020,1424700,NSW
Dec-2015,84550,26920,743590,940,1584200,NSW
Jan-2016,168830,70650,564570,1100,1908270,NSW
Feb-2016,107860,139260,760390,1320,1560130,NSW
Mar-2016,97070,47560,653000,1620,1479930,NSW
Apr-2016,108840,34020,501950,2360,1473700,NSW
May-2016,96820,21670,442220,1260,1304820,NSW
Jun-2016,95590,30000,449390,1430,1326820,NSW
Jul-2016,116570,122790,617710,2740,1829100,NSW
Aug-2016,105370,34210,528280,1230,1511510,NSW
Sep-2016,105940,34020,526260,2660,1587330,NSW
Oct-2016,117710,41240,576140,3330,1778870,NSW
Nov-2016,97230,29720,622500,1040,1512920,NSW
Dec-2016,92010,31610,816300,1390,1716250,NSW
Jan-2017,176430,73920,667460,1390,2066340,NSW
Feb-2017,126780,165310,755100,1700,1631360,NSW
Mar-2017,96700,53490,672120,1890,1522680,NSW
Apr-2017,122880,43100,587880,3370,1649770,NSW
May-2017,104440,25030,480190,1800,1401070,NSW
Jun-2017,102550,35060,501590,1190,1421130,NSW
Jul-2017,120630,138730,646640,5850,1909100,NSW
Aug-2017,106060,39870,593480,2270,1623620,NSW
Sep-2017,110150,34990,551200,2610,1666150,NSW
Oct-2017,125810,46650,618320,2080,1879610,NSW
Nov-2017,101330,32090,670270,1460,1602190,NSW
Dec-2017,94300,34360,858190,1400,1755130,NSW
Jan-2018,192170,90170,656780,1260,2130700,NSW
Feb-2018,114020,163680,883970,1760,1729160,NSW
Mar-2018,111110,66210,768710,1930,1682320,NSW
Apr-2018,128490,50530,583930,2810,1668310,NSW
May-2018,109350,29800,512710,1590,1480380,NSW
Jun-2018,106830,41500,547310,950,1513000,NSW
Jul-2018,126250,158550,693650,2690,2009860,NSW
Aug-2018,115100,43850,632380,1350,1718580,NSW
Sep-2018,118260,40520,579140,2300,1721970,NSW
Oct-2018,132390,49080,635860,2710,1963730,NSW
Nov-2018,105540,36730,698710,1700,1667980,NSW
Dec-2018,97720,37750,904540,1690,1853600,NSW
Jan-2019,203080,90260,685790,1620,2217890,NSW
Feb-2019,128220,183900,902080,1460,1788430,NSW
Mar-2019,108260,72150,748230,2420,1660140,NSW
Apr-2019,127890,44500,590970,2850,1674400,NSW
May-2019,122170,34260,563950,1430,1587870,NSW
Jun-2019,115160,46040,561670,2840,1562130,NSW
Jul-2019,129490,143840,696990,4870,2008780,NSW
Aug-2019,119020,54960,678310,1750,1782670,NSW
Sep-2019,120330,45300,586850,2220,1746100,NSW
Oct-2019,132940,50830,646960,2350,1979190,NSW
Nov-2019,112180,38260,707530,1510,1721900,NSW
Dec-2019,99590,38690,905340,1470,1889300,NSW
Jan-2020,206290,91610,714570,1670,2257280,NSW
Feb-2020,125010,121320,650480,1170,1568650,NSW
Mar-2020,61180,60360,302160,940,921950,NSW
Apr-2020,3760,30,1570,30,21170,NSW
May-2020,4080,40,1870,30,19120,NSW
Jun-2020,5520,60,2820,320,25120,NSW
Jul-2020,3110,40,2280,30,17260,NSW
Aug-2020,2680,50,2570,50,14940,NSW
Sep-2020,3080,80,3180,220,16200,NSW
Oct-2020,4310,130,5140,70,23710,NSW
Nov-2020,4960,150,5470,60,29330,NSW
Dec-2020,6750,230,5370,50,34670,NSW
Jan-2021,6100,360,6650,100,31160,NSW
Feb-2021,5250,200,4660,80,25210,NSW
Mar-2021,6690,230,5890,410,31990,NSW
Apr-2021,7080,260,7380,70,53910,NSW
May-2021,9920,390,8980,120,114520,NSW
Jun-2021,9120,470,9270,780,102480,NSW
Jul-2021,7720,520,6630,300,74860,NSW
Aug-2021,5290,240,5930,450,27020,NSW
Sep-2021,4270,120,5520,360,18850,NSW
Oct-2021,3440,160,5410,130,16630,NSW
Nov-2021,14190,780,18790,160,72260,NSW
Dec-2021,25080,29210,80020,310,196170,NSW
Jan-2022,41820,28030,75080,280,265260,NSW
Feb-2022,34680,49310,113960,630,271280,NSW
Mar-2022,37200,28180,163740,590,374630,NSW
Apr-2022,54860,21130,199730,800,573930,NSW
May-2022,65620,24750,206140,840,650520,NSW
Jun-2022,62900,29480,235020,710,730400,NSW
Jul-2022,84100,71220,281270,1820,1081610,NSW
Aug-2022,80250,40650,302180,2720,1027700,NSW
Sep-2022,76230,35560,317340,1350,1071520,NSW
Oct-2022,80920,28690,354410,1160,1212850,NSW
Nov-2022,76820,33080,441100,1080,1189920,NSW
Dec-2022,72030,35840,546180,1120,1260550,NSW
Jan-2023,143440,59240,392380,1230,1608010,NSW
Feb-2023,98780,142580,587860,1770,1375520,NSW
Mar-2023,94070,53640,546130,2820,1344580,NSW
Apr-2023,110890,42830,434790,2330,1370470,NSW
May-2023,100610,43950,424010,1590,1296710,NSW
Jun-2023,100650,50620,443010,2450,1357680,NSW
Jul-2023,113720,131640,539900,6990,1743390,NSW
Aug-2023,102460,48770,527430,2180,1544700,NSW
Sep-2023,105370,45090,489790,1990,1602720,NSW
Oct-2023,118740,38790,516750,1830,1742840,NSW
Nov-2023,104790,34550,576110,1920,1562520,NSW
Dec-2023,100270,41670,753330,1460,1704730,NSW
Jan-2024,190860,82890,585000,1230,2122070,NSW
Feb-2024,124380,175950,850360,1130,1786650,NSW
Mar-2024,107740,44580,674430,2080,1614830,NSW
Apr-2024,130290,45950,509480,1910,1634580,NSW
May-2024,106670,38010,485040,2320,1478410,NSW
Jun-2024,105550,39230,513530,2410,1525610,NSW
Jul-2024,122270,132970,611140,2630,1925260,NSW
Jan-2014,40690,14210,117740,140,409780,VIC
Feb-2014,29170,36870,139850,100,319850,VIC
Mar-2014,23850,15160,121470,180,309210,VIC
Apr-2014,28210,7420,93290,150,318380,VIC
May-2014,25020,5020,91020,120,287290,VIC
Jun-2014,23830,7920,84320,130,285740,VIC
Jul-2014,27610,28780,122310,260,400640,VIC
Aug-2014,26100,10020,98290,150,325810,VIC
Sep-2014,26020,6250,91940,160,333300,VIC
Oct-2014,27950,8420,106900,170,377380,VIC
Nov-2014,24320,7720,121610,110,336050,VIC
Dec-2014,22290,7130,161490,120,352790,VIC
Jan-2015,44170,18860,123590,160,439110,VIC
Feb-2015,29950,34890,177460,330,366510,VIC
Mar-2015,28600,18950,146660,120,351950,VIC
Apr-2015,28820,8490,105500,130,334690,VIC
May-2015,25500,4790,93000,250,298010,VIC
Jun-2015,26040,8570,91240,180,309100,VIC
Jul-2015,29550,33110,124380,260,415620,VIC
Aug-2015,28420,10050,111080,140,358930,VIC
Sep-2015,28120,6990,107930,180,371530,VIC
Oct-2015,30810,11380,125460,210,413060,VIC
Nov-2015,26520,8590,144390,220,370120,VIC
Dec-2015,25250,8390,192140,170,401740,VIC
Jan-2016,48530,21930,146640,220,481330,VIC
Feb-2016,34050,48680,201300,430,407130,VIC
Mar-2016,28910,14700,161560,140,369480,VIC
Apr-2016,33540,9430,122190,80,373380,VIC
May-2016,27400,5700,109940,150,322660,VIC
Jun-2016,27980,10020,113430,200,347280,VIC
Jul-2016,33990,41260,155490,230,473060,VIC
Aug-2016,31890,9550,127290,200,388980,VIC
Sep-2016,32030,9060,124210,230,413200,VIC
Oct-2016,33220,11890,142690,230,438490,VIC
Nov-2016,29080,10280,158180,150,393470,VIC
Dec-2016,27600,10040,214740,310,442440,VIC
Jan-2017,51860,23270,175740,230,531300,VIC
Feb-2017,39400,59780,202940,330,432020,VIC
Mar-2017,29990,14870,168840,310,391630,VIC
Apr-2017,38320,13020,147110,220,420090,VIC
May-2017,30800,6880,118820,320,353010,VIC
Jun-2017,32160,11410,127320,80,371490,VIC
Jul-2017,35970,47630,162930,310,491160,VIC
Aug-2017,30530,11560,148390,430,423360,VIC
Sep-2017,32150,9050,130260,330,422720,VIC
Oct-2017,37980,14330,152590,200,475610,VIC
Nov-2017,30680,10080,168070,230,414150,VIC
Dec-2017,28240,11390,224950,280,449050,VIC
Jan-2018,57200,29980,178840,160,544980,VIC
Feb-2018,36400,59860,241860,390,459680,VIC
Mar-2018,33200,19770,198240,180,436350,VIC
Apr-2018,39870,13820,154130,250,438950,VIC
May-2018,30600,8110,132370,220,368600,VIC
Jun-2018,31880,14480,145820,90,404770,VIC
Jul-2018,38770,56770,184240,280,549090,VIC
Aug-2018,35360,12310,161370,270,462430,VIC
Sep-2018,37290,11730,146150,210,471660,VIC
Oct-2018,42520,14410,164190,310,524950,VIC
Nov-2018,34220,13020,188550,180,461280,VIC
Dec-2018,30470,13170,245120,270,486340,VIC
Jan-2019,64480,30210,192880,350,596370,VIC
Feb-2019,42840,62210,256240,350,500350,VIC
Mar-2019,33640,30470,212730,310,458050,VIC
Apr-2019,41960,13190,154790,250,455230,VIC
May-2019,37050,9640,154950,140,420450,VIC
Jun-2019,36010,14130,151010,200,424740,VIC
Jul-2019,39050,56430,192530,360,555380,VIC
Aug-2019,37360,15550,175700,180,475830,VIC
Sep-2019,39700,10610,147190,180,477130,VIC
Oct-2019,40930,16010,168280,240,521120,VIC
Nov-2019,35890,13270,193220,240,474530,VIC
Dec-2019,30340,14010,245420,260,513090,VIC
Jan-2020,66330,29450,202560,480,609400,VIC
Feb-2020,40370,41900,175860,190,426000,VIC
Mar-2020,18810,24060,92480,120,255220,VIC
Apr-2020,1200,10,340,10,5630,VIC
May-2020,1340,10,440,0,5020,VIC
Jun-2020,1560,20,540,10,6050,VIC
Jul-2020,440,10,200,0,2070,VIC
Aug-2020,330,0,200,0,1500,VIC
Sep-2020,550,10,290,0,1940,VIC
Oct-2020,850,20,530,10,2960,VIC
Nov-2020,880,20,570,10,3570,VIC
Dec-2020,1630,40,800,10,6960,VIC
Jan-2021,1990,70,1690,20,7570,VIC
Feb-2021,1380,40,590,0,4960,VIC
Mar-2021,1720,40,900,10,6000,VIC
Apr-2021,2020,40,1130,10,10740,VIC
May-2021,2530,60,1400,20,20850,VIC
Jun-2021,1870,80,860,10,9390,VIC
Jul-2021,1840,130,1100,10,16490,VIC
Aug-2021,1800,90,1300,90,6580,VIC
Sep-2021,1460,40,930,90,4290,VIC
Oct-2021,1070,40,830,0,3400,VIC
Nov-2021,4920,230,5740,40,22010,VIC
Dec-2021,9310,11680,30260,90,68340,VIC
Jan-2022,15130,10120,26650,70,89260,VIC
Feb-2022,12580,19070,39320,80,91640,VIC
Mar-2022,12650,8440,46790,80,110850,VIC
Apr-2022,17730,5930,56560,100,164670,VIC
May-2022,21540,6830,57490,90,185190,VIC
Jun-2022,19890,8900,65970,110,208060,VIC
Jul-2022,27160,23910,76920,200,306390,VIC
Aug-2022,24220,10660,78510,170,280110,VIC
Sep-2022,24740,9160,80180,270,300910,VIC
Oct-2022,24360,8650,94800,220,323330,VIC
Nov-2022,23060,9500,118010,210,329160,VIC
Dec-2022,22850,10520,146630,290,338330,VIC
Jan-2023,45850,16800,107070,310,428470,VIC
Feb-2023,33140,47970,158800,500,377470,VIC
Mar-2023,29740,16420,144000,240,362090,VIC
Apr-2023,36200,12640,119640,190,375150,VIC
May-2023,31760,10890,119360,180,355450,VIC
Jun-2023,31560,15320,120330,190,365980,VIC
Jul-2023,35440,46180,143490,370,481900,VIC
Aug-2023,31610,11970,132660,170,417970,VIC
Sep-2023,34470,10490,121130,210,447030,VIC
Oct-2023,37410,11940,136120,240,460940,VIC
Nov-2023,33180,10620,150180,150,425860,VIC
Dec-2023,31110,13200,206780,390,458390,VIC
Jan-2024,61910,24750,166690,260,590350,VIC
Feb-2024,40870,59040,239350,270,501230,VIC
Mar-2024,34250,15900,179310,250,428790,VIC
Apr-2024,42250,14120,134970,340,438380,VIC
May-2024,32230,8150,125860,260,382090,VIC
Jun-2024,32350,12920,142150,240,414470,VIC
Jul-2024,39360,48340,163740,310,524280,VIC
Jan-2014,22630,9960,93570,160,318950,QLD
Feb-2014,12620,18460,106830,180,237550,QLD
Mar-2014,10760,6730,95690,230,241400,QLD
Apr-2014,12730,4040,77710,210,254530,QLD
May-2014,11500,3630,71530,300,225570,QLD
Jun-2014,11220,4670,77360,270,234330,QLD
Jul-2014,13960,15530,111220,450,323230,QLD
Aug-2014,11840,5750,105300,450,281410,QLD
Sep-2014,11380,4490,86390,710,271930,QLD
Oct-2014,14080,6340,96910,1430,307900,QLD
Nov-2014,10960,3330,96480,440,250260,QLD
Dec-2014,11010,4150,120220,170,279240,QLD
Jan-2015,22710,11170,88990,220,321680,QLD
Feb-2015,11510,16340,120970,190,257380,QLD
Mar-2015,12500,8260,102680,320,262130,QLD
Apr-2015,14440,5030,79630,440,255420,QLD
May-2015,11780,3860,76260,330,239720,QLD
Jun-2015,12090,4260,81010,730,245160,QLD
Jul-2015,14080,17940,121120,1180,331510,QLD
Aug-2015,12190,5130,103800,320,277390,QLD
Sep-2015,12190,5130,98110,510,293870,QLD
Oct-2015,13870,6390,103170,1100,324440,QLD
Nov-2015,11790,4490,108610,720,272080,QLD
Dec-2015,11560,4530,131080,190,309530,QLD
Jan-2016,22510,11860,102870,230,347800,QLD
Feb-2016,12860,20010,132430,160,282530,QLD
Mar-2016,12340,6530,120580,310,282800,QLD
Apr-2016,13890,5540,91600,220,279120,QLD
May-2016,12240,4150,86460,300,257200,QLD
Jun-2016,12940,4930,93130,480,263480,QLD
Jul-2016,14690,17760,130810,500,358310,QLD
Aug-2016,12300,5170,116150,220,300580,QLD
Sep-2016,13330,6140,109600,1310,322470,QLD
Oct-2016,15080,7640,119360,1880,347970,QLD
Nov-2016,12010,4330,111690,220,279540,QLD
Dec-2016,12260,4830,138370,220,326710,QLD
Jan-2017,23220,12540,111320,290,355850,QLD
Feb-2017,13820,22250,123760,230,282610,QLD
Mar-2017,12530,6870,121050,490,288270,QLD
Apr-2017,16230,7030,102890,760,305350,QLD
May-2017,12970,4320,90050,180,268690,QLD
Jun-2017,13570,6210,99350,420,283020,QLD
Jul-2017,16010,20330,135610,3930,379550,QLD
Aug-2017,13570,5840,124090,860,322590,QLD
Sep-2017,15210,5790,109420,1340,343590,QLD
Oct-2017,15920,7440,117020,420,356700,QLD
Nov-2017,13600,5890,120260,430,302910,QLD
Dec-2017,13920,5670,148470,320,346930,QLD
Jan-2018,24940,15620,116540,260,389630,QLD
Feb-2018,13610,22590,150510,320,311370,QLD
Mar-2018,13660,7200,140120,320,324060,QLD
Apr-2018,17360,9960,107240,420,318810,QLD
May-2018,13440,4980,98570,300,287950,QLD
Jun-2018,14220,7040,113400,270,309990,QLD
Jul-2018,17000,23150,151630,470,408700,QLD
Aug-2018,14750,6360,138870,150,359060,QLD
Sep-2018,15230,6510,116590,880,349420,QLD
Oct-2018,17780,8680,118250,1430,381890,QLD
Nov-2018,13440,5930,120070,600,305560,QLD
Dec-2018,14450,5760,156960,390,366920,QLD
Jan-2019,28520,15030,118900,420,411220,QLD
Feb-2019,14930,26530,148080,310,313720,QLD
Mar-2019,14910,8390,134670,650,322850,QLD
Apr-2019,16210,7550,107490,410,323180,QLD
May-2019,15850,5980,100470,330,312130,QLD
Jun-2019,16000,7880,110070,1610,318590,QLD
Jul-2019,18760,24230,150960,2520,410700,QLD
Aug-2019,15040,6560,140230,440,357020,QLD
Sep-2019,16220,6710,109360,760,345060,QLD
Oct-2019,17560,8820,120200,690,382780,QLD
Nov-2019,14490,6190,126910,330,324850,QLD
Dec-2019,14900,6420,163880,410,377490,QLD
Jan-2020,30010,16020,124050,340,428180,QLD
Feb-2020,14890,17600,111440,240,286860,QLD
Mar-2020,9520,7860,47670,250,187900,QLD
Apr-2020,500,0,480,10,4200,QLD
May-2020,470,0,340,0,3560,QLD
Jun-2020,780,20,800,10,5570,QLD
Jul-2020,420,10,590,10,3360,QLD
Aug-2020,290,10,460,0,2320,QLD
Sep-2020,340,20,610,0,2520,QLD
Oct-2020,480,20,860,10,3440,QLD
Nov-2020,450,30,980,10,3850,QLD
Dec-2020,690,30,670,10,4460,QLD
Jan-2021,720,40,1030,10,5010,QLD
Feb-2021,600,30,1020,20,4440,QLD
Mar-2021,690,40,900,30,4610,QLD
Apr-2021,620,80,1090,10,9530,QLD
May-2021,1330,60,1950,20,24420,QLD
Jun-2021,1160,80,2240,490,26050,QLD
Jul-2021,970,80,1160,10,16720,QLD
Aug-2021,890,40,1580,250,6870,QLD
Sep-2021,680,20,1470,80,4270,QLD
Oct-2021,590,30,1640,20,4270,QLD
Nov-2021,990,70,1600,10,5380,QLD
Dec-2021,1630,1120,3900,30,11690,QLD
Jan-2022,3290,2540,6470,40,22420,QLD
Feb-2022,3830,6080,16450,90,36890,QLD
Mar-2022,4590,4180,26310,150,61620,QLD
Apr-2022,7850,3340,31870,130,101610,QLD
May-2022,8500,3350,32480,190,115880,QLD
Jun-2022,8920,4490,43030,150,139770,QLD
Jul-2022,11840,11260,51990,460,200790,QLD
Aug-2022,11430,6250,54750,350,195850,QLD
Sep-2022,10870,6050,57530,200,207290,QLD
Oct-2022,11600,5260,61540,180,223230,QLD
Nov-2022,11120,5910,71200,260,216610,QLD
Dec-2022,11080,5750,86610,220,241260,QLD
Jan-2023,21100,10540,59960,160,288710,QLD
Feb-2023,12410,19300,86580,220,228730,QLD
Mar-2023,12950,8610,87670,430,242480,QLD
Apr-2023,15140,6950,68180,190,251260,QLD
May-2023,13720,6190,68060,330,245790,QLD
Jun-2023,14450,8000,80860,830,271770,QLD
Jul-2023,15830,20790,107770,3470,332640,QLD
Aug-2023,14280,6740,99810,390,298760,QLD
Sep-2023,15580,6540,87570,690,319410,QLD
Oct-2023,15680,5880,87940,160,316350,QLD
Nov-2023,14560,5530,94060,510,289200,QLD
Dec-2023,15630,6270,117030,270,329520,QLD
Jan-2024,26530,13000,86610,250,363550,QLD
Feb-2024,16300,23020,126980,180,304780,QLD
Mar-2024,15930,6360,124170,290,332220,QLD
Apr-2024,19030,6840,85130,260,322600,QLD
May-2024,14900,4680,79430,670,287780,QLD
Jun-2024,16640,5910,91830,670,314600,QLD
Jul-2024,17970,20170,125300,560,392150,QLD
Jan-2014,7270,3340,19190,70,69030,SA
Feb-2014,5910,7020,23110,60,55660,SA
Mar-2014,4390,3220,18590,90,50710,SA
Apr-2014,4650,1480,14040,60,52100,SA
May-2014,4330,810,11500,70,49940,SA
Jun-2014,4430,1280,11440,70,48930,SA
Jul-2014,4910,4290,17150,70,65950,SA
Aug-2014,4510,2420,13160,10,57640,SA
Sep-2014,4590,1150,13090,10,55690,SA
Oct-2014,5080,1750,15120,60,69440,SA
Nov-2014,4660,1000,15870,70,51870,SA
Dec-2014,4140,1180,21780,60,55680,SA
Jan-2015,7490,4380,18180,20,68740,SA
Feb-2015,4760,6420,25060,70,55740,SA
Mar-2015,4870,3690,19480,40,51500,SA
Apr-2015,4900,1780,13730,30,52340,SA
May-2015,4670,790,10040,10,48490,SA
Jun-2015,4110,1220,9030,30,43640,SA
Jul-2015,4560,4950,16110,50,66090,SA
Aug-2015,5370,1980,12490,40,57920,SA
Sep-2015,4750,1070,11900,30,54440,SA
Oct-2015,4960,1910,13830,120,66510,SA
Nov-2015,4150,1100,15230,60,50720,SA
Dec-2015,3870,1060,21270,120,56170,SA
Jan-2016,7180,4050,15980,10,67750,SA
Feb-2016,5290,8350,23790,70,56920,SA
Mar-2016,4630,2630,18380,90,53450,SA
