Month,Permanent Visas - Total,Temporary Student Visas - Total,Temporary visas - Total,Other Visas(h),Total(i),State
Apr-2016,4540,1590,12610,50,50910,SA
May-2016,4690,1030,10140,50,50070,SA
Jun-2016,4580,1360,10680,60,50150,SA
Jul-2016,5270,5880,18040,40,73100,SA
Aug-2016,4840,1510,12980,20,58560,SA
Sep-2016,5370,1520,14400,50,62520,SA
Oct-2016,5520,2080,15200,40,69840,SA
Nov-2016,4720,1090,15500,40,52930,SA
Dec-2016,4390,1310,23310,30,62580,SA
Jan-2017,7440,3860,20070,60,73930,SA
Feb-2017,5800,9460,26050,40,61320,SA
Mar-2017,4570,1940,19180,60,54060,SA
Apr-2017,4670,1720,14580,70,53980,SA
May-2017,5010,950,10790,30,56400,SA
Jun-2017,4150,1460,12430,30,50540,SA
Jul-2017,5060,6530,20090,140,76860,SA
Aug-2017,4800,2220,16110,40,63260,SA
Sep-2017,4940,1250,17720,60,68030,SA
Oct-2017,5350,2270,17850,60,72410,SA
Nov-2017,4420,1080,20410,80,59490,SA
Dec-2017,4000,1220,26730,20,60480,SA
Jan-2018,8590,5120,21360,60,82590,SA
Feb-2018,5360,9430,29920,0,65300,SA
Mar-2018,5200,2410,22150,120,59730,SA
Apr-2018,5620,2090,17430,40,63180,SA
May-2018,5230,1090,13150,70,59690,SA
Jun-2018,4350,1700,13010,50,54930,SA
Jul-2018,5490,6690,20250,50,75040,SA
Aug-2018,5220,2250,16540,10,65030,SA
Sep-2018,5140,1690,16270,70,66340,SA
Oct-2018,5300,2260,17290,50,73170,SA
Nov-2018,4970,1140,21390,50,63850,SA
Dec-2018,4460,1360,27250,40,64640,SA
Jan-2019,7880,5020,22520,20,80290,SA
Feb-2019,6130,9400,30850,30,67880,SA
Mar-2019,5270,4310,22870,10,62040,SA
Apr-2019,5420,2120,17860,50,59670,SA
May-2019,5460,1320,15080,0,62480,SA
Jun-2019,5240,1740,14890,110,60030,SA
Jul-2019,5540,6810,21570,40,78900,SA
Aug-2019,6190,2960,17960,30,71750,SA
Sep-2019,5750,1600,20000,30,72960,SA
Oct-2019,5830,2820,21100,70,84040,SA
Nov-2019,5230,1430,20710,80,64100,SA
Dec-2019,4550,1660,28320,110,68800,SA
Jan-2020,7930,4940,23960,60,81290,SA
Feb-2020,5740,6950,23580,30,61960,SA
Mar-2020,3150,3520,11440,10,38070,SA
Apr-2020,170,0,60,0,960,SA
May-2020,220,0,70,0,760,SA
Jun-2020,240,0,60,0,790,SA
Jul-2020,100,0,90,0,570,SA
Aug-2020,80,0,50,0,360,SA
Sep-2020,130,0,70,0,520,SA
Oct-2020,190,10,180,0,830,SA
Nov-2020,170,10,220,0,970,SA
Dec-2020,280,10,130,0,1020,SA
Jan-2021,280,10,330,0,1260,SA
Feb-2021,240,10,160,10,920,SA
Mar-2021,260,10,160,0,940,SA
Apr-2021,250,10,500,0,1520,SA
May-2021,410,20,330,0,2470,SA
Jun-2021,340,20,210,0,2450,SA
Jul-2021,260,20,150,0,2110,SA
Aug-2021,280,10,180,0,1010,SA
Sep-2021,260,20,250,10,960,SA
Oct-2021,230,30,190,0,810,SA
Nov-2021,470,80,510,0,1930,SA
Dec-2021,1130,1080,2300,20,5290,SA
Jan-2022,1590,2100,4130,10,9270,SA
Feb-2022,1620,3160,6300,10,12130,SA
Mar-2022,1840,1520,7070,20,14960,SA
Apr-2022,2190,1180,8130,20,18650,SA
May-2022,3120,1300,8330,30,24590,SA
Jun-2022,2870,1600,9030,20,26890,SA
Jul-2022,3210,3860,11160,70,38420,SA
Aug-2022,3870,2330,10920,40,39850,SA
Sep-2022,3480,1640,11680,20,39710,SA
Oct-2022,3620,1460,12940,30,48850,SA
Nov-2022,3900,1540,15870,40,45680,SA
Dec-2022,3480,1820,20230,50,48390,SA
Jan-2023,6050,3760,15900,70,61550,SA
Feb-2023,5370,8330,23290,30,56350,SA
Mar-2023,5640,2750,21570,70,58130,SA
Apr-2023,5130,1950,16170,60,53050,SA
May-2023,5140,1860,14300,30,53770,SA
Jun-2023,4680,2240,13590,70,51790,SA
Jul-2023,5430,6460,18290,50,71040,SA
Aug-2023,5480,2230,14140,10,63040,SA
Sep-2023,5190,1780,15360,140,60900,SA
Oct-2023,5980,1900,16480,90,73230,SA
Nov-2023,5270,1450,17710,80,60780,SA
Dec-2023,5660,2360,22900,30,60340,SA
Jan-2024,8680,5360,22050,50,81710,SA
Feb-2024,6670,9170,28340,40,66120,SA
Mar-2024,5970,2380,21450,70,57530,SA
Apr-2024,6610,2370,16420,110,62300,SA
May-2024,5750,1590,13550,30,58980,SA
Jun-2024,5580,1670,14650,30,60040,SA
Jul-2024,5790,5840,17210,110,74580,SA
Jan-2014,28320,5210,62680,220,256440,WA
Feb-2014,19290,11110,68580,160,179070,WA
Mar-2014,14380,2990,61120,260,172600,WA
Apr-2014,16870,2930,52780,360,184490,WA
May-2014,16090,1560,44540,200,156370,WA
Jun-2014,14920,2160,46180,260,158630,WA
Jul-2014,17540,7320,55100,220,208820,WA
Aug-2014,16750,4070,48210,160,179050,WA
Sep-2014,15890,1980,55030,210,192420,WA
Oct-2014,17610,2940,58380,270,212570,WA
Nov-2014,14340,1750,62110,230,172460,WA
Dec-2014,12850,2500,76760,120,184240,WA
Jan-2015,28980,5540,56700,330,247480,WA
Feb-2015,15930,9620,69930,230,171380,WA
Mar-2015,15080,3890,64860,140,173790,WA
Apr-2015,17560,3170,53540,370,183000,WA
May-2015,14470,1780,44300,300,152970,WA
Jun-2015,14500,2240,46000,360,156500,WA
Jul-2015,18540,8680,55930,340,206510,WA
Aug-2015,17110,3430,50100,220,179050,WA
Sep-2015,15600,2210,56410,210,185070,WA
Oct-2015,17540,3250,56260,260,207250,WA
Nov-2015,13680,2050,66920,310,170380,WA
Dec-2015,13170,2100,82300,190,184470,WA
Jan-2016,29960,6270,56060,210,250790,WA
Feb-2016,17480,12040,80790,230,186630,WA
Mar-2016,15090,3110,70410,320,179460,WA
Apr-2016,16830,2930,56430,280,182030,WA
May-2016,15240,1920,51340,260,160520,WA
Jun-2016,14810,2590,52510,210,162940,WA
Jul-2016,20010,9260,64090,340,224010,WA
Aug-2016,16750,3470,54730,200,185040,WA
Sep-2016,15810,2830,65650,380,197330,WA
Oct-2016,19080,2900,65340,240,217050,WA
Nov-2016,14280,2200,72630,180,180150,WA
Dec-2016,12550,2480,91700,270,199690,WA
Jan-2017,28640,5710,61900,230,253030,WA
Feb-2017,19750,12710,75410,250,186870,WA
Mar-2017,13150,2810,70690,300,171770,WA
Apr-2017,17850,3090,63090,240,196570,WA
May-2017,15010,1960,54200,170,164070,WA
Jun-2017,13650,2720,55790,80,165690,WA
Jul-2017,18340,9090,56650,330,213540,WA
Aug-2017,16470,3040,59050,240,183800,WA
Sep-2017,15450,2440,58710,170,189540,WA
Oct-2017,18140,2790,65810,290,222130,WA
Nov-2017,14070,1970,71410,160,176170,WA
Dec-2017,12850,2160,91380,240,192880,WA
Jan-2018,27970,6030,57770,300,249150,WA
Feb-2018,16250,11110,80400,140,183830,WA
Mar-2018,14690,3140,75700,310,185060,WA
Apr-2018,16510,3060,53190,220,180920,WA
May-2018,16030,2240,52390,190,172200,WA
Jun-2018,15210,2570,56360,160,171200,WA
Jul-2018,17980,9310,56330,300,214680,WA
Aug-2018,15270,3140,60620,150,185330,WA
Sep-2018,16230,2520,59340,170,190450,WA
Oct-2018,17110,2710,63670,240,210470,WA
Nov-2018,13330,1680,72920,180,179230,WA
Dec-2018,12420,2540,91470,240,200780,WA
Jan-2019,25460,5400,56640,260,242850,WA
Feb-2019,17440,11870,82040,230,187920,WA
Mar-2019,13170,2930,69470,180,173670,WA
Apr-2019,15770,2650,57410,140,179650,WA
May-2019,15210,1710,55430,220,170090,WA
Jun-2019,14500,2750,57610,150,169790,WA
Jul-2019,17460,9720,61700,260,216650,WA
Aug-2019,15540,3080,65190,180,197540,WA
Sep-2019,14970,2280,63350,320,194340,WA
Oct-2019,17970,2880,70680,210,222580,WA
Nov-2019,14080,2050,78320,320,195840,WA
Dec-2019,12810,2320,99300,230,211420,WA
Jan-2020,24570,5640,71550,330,260650,WA
Feb-2020,17460,9900,73420,140,189340,WA
Mar-2020,7530,2710,32670,160,104850,WA
Apr-2020,490,0,150,10,2430,WA
May-2020,300,0,250,0,1850,WA
Jun-2020,470,0,340,20,2350,WA
Jul-2020,460,0,340,0,2400,WA
Aug-2020,220,10,430,0,1630,WA
Sep-2020,250,0,280,10,1420,WA
Oct-2020,360,10,600,10,2190,WA
Nov-2020,350,10,510,10,2450,WA
Dec-2020,450,10,540,10,2570,WA
Jan-2021,450,20,630,10,2610,WA
Feb-2021,390,10,630,10,2240,WA
Mar-2021,570,10,690,10,2930,WA
Apr-2021,460,10,830,10,3360,WA
May-2021,650,10,760,10,6440,WA
Jun-2021,600,20,730,10,6480,WA
Jul-2021,520,20,620,10,6220,WA
Aug-2021,470,20,640,10,3940,WA
Sep-2021,440,0,700,40,2440,WA
Oct-2021,400,10,820,30,2580,WA
Nov-2021,830,30,1220,10,4200,WA
Dec-2021,720,200,1660,10,4840,WA
Jan-2022,360,210,1300,0,2970,WA
Feb-2022,1840,1470,4060,20,11090,WA
Mar-2022,3300,2300,16680,80,31560,WA
Apr-2022,5560,1380,23820,110,56300,WA
May-2022,6500,1360,23320,170,62730,WA
Jun-2022,6790,2060,27510,150,74960,WA
Jul-2022,10600,5610,30940,200,115500,WA
Aug-2022,9950,3700,33920,190,114680,WA
Sep-2022,9380,2430,39310,120,119410,WA
Oct-2022,10020,2190,41800,130,135880,WA
Nov-2022,9730,2830,55540,170,138750,WA
Dec-2022,8480,3360,63380,180,139460,WA
Jan-2023,18080,5870,42860,210,189380,WA
Feb-2023,12780,11850,60480,190,156350,WA
Mar-2023,11880,3760,61950,200,160360,WA
Apr-2023,13590,3260,49890,130,162750,WA
May-2023,12670,3860,45750,250,147530,WA
Jun-2023,11970,4720,46880,90,152460,WA
Jul-2023,14250,10610,46550,260,187330,WA
Aug-2023,13820,4070,52660,290,175350,WA
Sep-2023,13080,3330,54140,140,178630,WA
Oct-2023,15300,3210,53600,140,197840,WA
Nov-2023,12860,3210,64720,190,177360,WA
Dec-2023,12330,3960,73400,160,178720,WA
Jan-2024,22820,6650,54090,150,236450,WA
Feb-2024,16530,13670,82900,140,198250,WA
Mar-2024,13920,3280,72490,90,186930,WA
Apr-2024,17650,3530,57830,60,195940,WA
May-2024,13600,2200,60720,160,172920,WA
Jun-2024,13570,3830,60910,150,183080,WA
Jul-2024,17130,11050,59350,140,225400,WA
Jan-2014,680,320,4090,0,13030,TAS
Feb-2014,700,1480,5390,30,11600,TAS
Mar-2014,630,180,3070,0,8780,TAS
Apr-2014,360,190,2580,10,9280,TAS
May-2014,570,160,1700,0,10610,TAS
Jun-2014,520,170,1350,0,9550,TAS
Jul-2014,440,830,1990,0,13240,TAS
Aug-2014,490,240,1740,20,10860,TAS
Sep-2014,500,210,1710,0,10110,TAS
Oct-2014,890,180,3090,0,14970,TAS
Nov-2014,530,240,4810,20,13240,TAS
Dec-2014,360,190,7390,0,15040,TAS
Jan-2015,740,570,4660,20,12690,TAS
Feb-2015,430,1380,6950,40,12430,TAS
Mar-2015,580,280,3910,0,10500,TAS
Apr-2015,490,260,2460,0,9510,TAS
May-2015,480,160,1880,0,8570,TAS
Jun-2015,490,230,1830,10,10170,TAS
Jul-2015,620,930,2870,0,13850,TAS
Aug-2015,550,190,2150,0,11410,TAS
Sep-2015,610,240,2350,0,11380,TAS
Oct-2015,680,150,2800,50,15310,TAS
Nov-2015,490,150,5090,0,11980,TAS
Dec-2015,380,350,8300,0,14790,TAS
Jan-2016,570,400,4880,10,12760,TAS
Feb-2016,590,1420,7400,0,14260,TAS
Mar-2016,420,200,4670,20,10960,TAS
Apr-2016,600,170,2940,0,10630,TAS
May-2016,340,100,2250,0,9850,TAS
Jun-2016,560,310,2790,0,10950,TAS
Jul-2016,760,1190,3710,0,15560,TAS
Aug-2016,660,320,2840,0,12260,TAS
Sep-2016,760,260,2970,10,12800,TAS
Oct-2016,750,210,3680,0,17050,TAS
Nov-2016,740,170,6000,0,15090,TAS
Dec-2016,480,300,9010,0,16800,TAS
Jan-2017,860,460,6290,30,14020,TAS
Feb-2017,690,1980,7130,10,14720,TAS
Mar-2017,540,350,5080,30,12150,TAS
Apr-2017,500,240,3870,0,11820,TAS
May-2017,560,180,2690,30,12330,TAS
Jun-2017,880,280,3170,10,13150,TAS
Jul-2017,820,1630,5060,120,18230,TAS
Aug-2017,610,300,4250,40,14900,TAS
Sep-2017,670,520,4560,10,15060,TAS
Oct-2017,800,260,5420,20,20370,TAS
Nov-2017,920,260,7900,0,15990,TAS
Dec-2017,490,370,12170,0,20370,TAS
Jan-2018,740,620,7010,0,16880,TAS
Feb-2018,640,2460,12050,60,19650,TAS
Mar-2018,760,610,7820,0,16370,TAS
Apr-2018,870,400,5060,0,15100,TAS
May-2018,840,190,3560,0,14380,TAS
Jun-2018,790,390,3850,0,14010,TAS
Jul-2018,930,1770,5160,10,19220,TAS
Aug-2018,860,400,3650,0,14290,TAS
Sep-2018,1020,400,3880,30,16280,TAS
Oct-2018,1060,370,5540,10,21690,TAS
Nov-2018,860,230,7860,0,18320,TAS
Dec-2018,730,470,12700,0,22190,TAS
Jan-2019,1040,770,7870,0,18300,TAS
Feb-2019,1080,2880,12680,10,20680,TAS
Mar-2019,1000,580,7880,0,17560,TAS
Apr-2019,820,410,5300,30,15220,TAS
May-2019,760,360,4360,0,15660,TAS
Jun-2019,850,430,4240,20,14470,TAS
Jul-2019,1030,1900,5530,10,20200,TAS
Aug-2019,1020,420,5250,0,18140,TAS
Sep-2019,1160,400,4680,10,16850,TAS
Oct-2019,1170,430,5850,10,21560,TAS
Nov-2019,910,380,9260,10,20470,TAS
Dec-2019,940,480,12980,40,22720,TAS
Jan-2020,1100,870,9910,30,20650,TAS
Feb-2020,1260,1890,8690,10,18510,TAS
Mar-2020,730,590,3560,20,10110,TAS
Apr-2020,30,0,10,0,210,TAS
May-2020,20,10,30,0,140,TAS
Jun-2020,40,0,10,0,170,TAS
Jul-2020,20,0,10,0,140,TAS
Aug-2020,30,0,10,0,120,TAS
Sep-2020,20,0,20,0,100,TAS
Oct-2020,20,10,60,0,170,TAS
Nov-2020,40,0,30,0,230,TAS
Dec-2020,50,0,270,0,490,TAS
Jan-2021,30,10,330,0,500,TAS
Feb-2021,40,0,80,0,240,TAS
Mar-2021,40,0,110,0,300,TAS
Apr-2021,50,0,110,0,450,TAS
May-2021,80,0,80,0,910,TAS
Jun-2021,60,0,60,0,890,TAS
Jul-2021,50,10,70,0,1110,TAS
Aug-2021,40,10,190,0,450,TAS
Sep-2021,40,10,140,0,290,TAS
Oct-2021,30,0,350,0,500,TAS
Nov-2021,90,0,560,0,860,TAS
Dec-2021,260,220,1100,10,2010,TAS
Jan-2022,310,370,860,10,1970,TAS
Feb-2022,340,440,1080,0,2230,TAS
Mar-2022,380,250,1690,0,3280,TAS
Apr-2022,520,180,1910,0,4540,TAS
May-2022,750,220,2050,10,5970,TAS
Jun-2022,840,360,2640,0,6960,TAS
Jul-2022,840,530,2270,10,9400,TAS
Aug-2022,1090,250,2450,10,9980,TAS
Sep-2022,780,230,2540,0,10620,TAS
Oct-2022,910,170,3940,20,13570,TAS
Nov-2022,1120,400,6480,20,14330,TAS
Dec-2022,1010,380,8240,40,15370,TAS
Jan-2023,1150,470,5260,30,13730,TAS
Feb-2023,1370,1290,7290,10,16220,TAS
Mar-2023,1320,400,6880,10,15090,TAS
Apr-2023,1280,290,3950,40,12850,TAS
May-2023,1240,290,3290,0,11310,TAS
Jun-2023,1280,560,4210,10,13830,TAS
Jul-2023,1250,800,3370,20,15860,TAS
Aug-2023,1350,330,3690,0,15870,TAS
Sep-2023,1300,240,3510,10,14290,TAS
Oct-2023,1580,250,4570,0,20040,TAS
Nov-2023,1510,250,6680,0,17440,TAS
Dec-2023,1280,420,9190,0,17730,TAS
Jan-2024,1610,480,6460,0,17040,TAS
Feb-2024,1400,1130,9130,30,17460,TAS
Mar-2024,1380,300,6940,10,17640,TAS
Apr-2024,1210,210,3820,10,14510,TAS
May-2024,1400,170,4020,0,14770,TAS
Jun-2024,1240,190,3520,20,13060,TAS
Jul-2024,1180,720,3840,0,16510,TAS
Jan-2014,2020,310,4690,210,19440,NT
Feb-2014,1420,380,4420,140,14180,NT
Mar-2014,1020,220,5100,270,15000,NT
Apr-2014,1110,560,9650,890,19170,NT
May-2014,1100,150,5930,200,15300,NT
Jun-2014,960,210,7050,290,16660,NT
Jul-2014,1290,750,10580,810,24250,NT
Aug-2014,1200,320,9210,510,20000,NT
Sep-2014,910,130,7750,250,18510,NT
Oct-2014,840,210,7660,250,17880,NT
Nov-2014,920,210,7360,240,17500,NT
Dec-2014,860,110,4190,30,12690,NT
Jan-2015,2190,260,4460,120,20250,NT
Feb-2015,1190,490,5260,200,13050,NT
Mar-2015,980,220,5510,60,13230,NT
Apr-2015,1230,550,9340,1280,19230,NT
May-2015,870,170,5000,180,12940,NT
Jun-2015,890,450,11850,1230,20440,NT
Jul-2015,1190,750,11030,470,22160,NT
Aug-2015,1110,150,7240,220,16140,NT
Sep-2015,780,110,6320,400,15740,NT
Oct-2015,800,170,6440,260,15600,NT
Nov-2015,910,140,5110,250,14830,NT
Dec-2015,780,140,3700,60,11440,NT
Jan-2016,2410,320,3900,40,19360,NT
Feb-2016,1150,550,4710,110,12880,NT
Mar-2016,970,160,5010,140,13020,NT
Apr-2016,1030,250,7060,1200,16950,NT
May-2016,1060,120,5120,100,12990,NT
Jun-2016,810,210,5180,130,14020,NT
Jul-2016,1400,1170,12150,990,25110,NT
Aug-2016,1150,230,8730,320,18240,NT
Sep-2016,1030,150,7360,400,17390,NT
Oct-2016,1110,260,6220,170,17260,NT
Nov-2016,1030,150,4660,140,14650,NT
Dec-2016,720,150,5480,170,13070,NT
Jan-2017,2260,280,4180,140,19570,NT
Feb-2017,1370,880,6250,350,16180,NT
Mar-2017,940,180,5240,240,14670,NT
Apr-2017,1170,250,6260,1370,18220,NT
May-2017,910,110,6320,620,15260,NT
Jun-2017,990,160,8950,280,16960,NT
Jul-2017,1550,490,8420,270,25170,NT
Aug-2017,1140,140,7870,320,21100,NT
Sep-2017,1330,100,7540,290,20280,NT
Oct-2017,1460,200,6920,390,23480,NT
Nov-2017,1510,170,5950,210,19970,NT
Dec-2017,1010,120,4440,70,14640,NT
Jan-2018,2370,370,4420,100,21440,NT
Feb-2018,1160,530,4370,140,13080,NT
Mar-2018,1000,200,4250,550,12720,NT
Apr-2018,1070,210,4820,1200,15150,NT
May-2018,1050,90,4630,270,13200,NT
Jun-2018,940,120,5720,170,13280,NT
Jul-2018,1110,330,7260,1020,17720,NT
Aug-2018,960,80,7350,250,15550,NT
Sep-2018,800,80,6200,350,14010,NT
Oct-2018,800,100,4780,100,13410,NT
Nov-2018,860,140,5230,240,12960,NT
Dec-2018,930,130,5060,70,12350,NT
Jan-2019,2120,330,3650,100,17530,NT
Feb-2019,1430,540,5290,40,13600,NT
Mar-2019,920,220,4310,590,12000,NT
Apr-2019,1080,130,5370,1510,15360,NT
May-2019,1050,120,5550,300,13580,NT
Jun-2019,930,130,6070,150,14520,NT
Jul-2019,1290,410,7550,980,19790,NT
Aug-2019,890,160,7780,280,17210,NT
Sep-2019,820,120,7470,390,16970,NT
Oct-2019,820,160,6740,230,16580,NT
Nov-2019,910,170,4110,180,11920,NT
Dec-2019,810,180,4440,50,11550,NT
Jan-2020,1930,440,4390,50,17330,NT
Feb-2020,1340,450,4540,30,12380,NT
Mar-2020,680,190,1580,110,6950,NT
Apr-2020,20,0,10,0,150,NT
May-2020,40,0,60,0,180,NT
Jun-2020,40,0,40,240,410,NT
Jul-2020,10,0,30,0,120,NT
Aug-2020,10,0,30,20,140,NT
Sep-2020,20,0,140,150,390,NT
Oct-2020,30,0,60,10,160,NT
Nov-2020,40,0,50,0,220,NT
Dec-2020,20,0,30,0,150,NT
Jan-2021,60,30,110,20,310,NT
Feb-2021,20,0,50,0,180,NT
Mar-2021,40,0,80,280,530,NT
Apr-2021,30,0,90,0,270,NT
May-2021,40,0,120,10,510,NT
Jun-2021,40,0,90,120,580,NT
Jul-2021,40,0,80,160,630,NT
Aug-2021,130,10,360,20,880,NT
Sep-2021,130,0,710,100,1200,NT
Oct-2021,140,0,210,60,700,NT
Nov-2021,140,10,300,30,790,NT
Dec-2021,180,150,480,20,1020,NT
Jan-2022,270,130,530,20,1470,NT
Feb-2022,270,150,950,190,1890,NT
Mar-2022,250,130,810,50,1750,NT
Apr-2022,310,100,1230,240,3110,NT
May-2022,590,160,2030,60,5030,NT
Jun-2022,380,90,1540,50,4060,NT
Jul-2022,770,200,2850,240,8680,NT
Aug-2022,630,250,4030,1470,10130,NT
Sep-2022,650,160,3310,280,8680,NT
Oct-2022,720,100,2480,90,8390,NT
Nov-2022,730,190,2890,30,9140,NT
Dec-2022,710,190,2680,10,7120,NT
Jan-2023,1350,310,2390,60,11670,NT
Feb-2023,1100,570,3170,220,9370,NT
Mar-2023,880,480,3470,1100,9350,NT
Apr-2023,740,180,2800,1040,9810,NT
May-2023,800,170,3300,230,9350,NT
Jun-2023,790,360,3880,460,10100,NT
Jul-2023,830,540,4350,1000,12230,NT
Aug-2023,750,160,3940,460,10860,NT
Sep-2023,730,140,3860,390,10040,NT
Oct-2023,570,200,3540,50,10140,NT
Nov-2023,900,270,3080,100,9130,NT
Dec-2023,720,220,3040,40,8370,NT
Jan-2024,1560,300,2840,80,12740,NT
Feb-2024,1240,520,3830,30,9970,NT
Mar-2024,920,260,3150,890,10120,NT
Apr-2024,920,150,3760,530,11080,NT
May-2024,1000,90,3370,510,11210,NT
Jun-2024,850,150,4270,500,11270,NT
Jul-2024,720,310,5360,920,13860,NT
